Cycle number,Channel,Analyte,BioModel,ka (M-1s-1),ka error (%),kd (s-1),kd error (%),Kd (M),Rmax (pg/mm²),Sqrt(Chi2) (pg/mm²)
13,Ch 2-1,ASAP-0020915,1:1 Kinetic,145048.9767,6.128688489,0.389452025,5.61445661,2.68E-06,67.31182011,2.481376976
13,Ch 3-1,ASAP-0020915,1:1 Kinetic,215680.5022,4.344784499,0.434259264,4.364706596,2.01E-06,35.18391336,1.267782932
13,Ch 4-1,ASAP-0020915,1:1 Kinetic,212589.7987,7.688321396,0.57555427,5.397243868,2.71E-06,37.41536908,1.138014308
14,Ch 2-1,ASAP-0020915,1:1 Kinetic,150103.3103,6.35497833,0.397888872,5.841933377,2.65E-06,67.64044597,2.572757375
14,Ch 3-1,ASAP-0020915,1:1 Kinetic,216714.9027,4.510625523,0.451971753,4.381296425,2.09E-06,36.46159307,1.296983672
14,Ch 4-1,ASAP-0020915,1:1 Kinetic,217328.4498,7.257647752,0.599060659,4.929045049,2.76E-06,38.75397989,1.15220083
15,Ch 2-1,ASAP-0020915,1:1 Kinetic,125911.7497,7.416454505,0.404658802,6.042483775,3.21E-06,73.48979772,2.832648851
15,Ch 3-1,ASAP-0020915,1:1 Kinetic,215649.9205,4.584971692,0.445464975,4.505597793,2.07E-06,36.11701952,1.268886419
15,Ch 4-1,ASAP-0020915,1:1 Kinetic,207927.7031,8.078449759,0.592018142,5.454645989,2.85E-06,38.26223009,1.182744377
16,Ch 2-1,ASAP-0020915,1:1 Kinetic,142385.4515,6.604463852,0.401443606,5.756358637,2.82E-06,67.48677513,2.845487608
16,Ch 3-1,ASAP-0020915,1:1 Kinetic,227237.3536,4.407908363,0.464694219,4.262143224,2.04E-06,34.9195618,1.264131916
16,Ch 4-1,ASAP-0020915,1:1 Kinetic,231383.1522,7.187238509,0.615559304,4.866554181,2.66E-06,35.97441809,1.1358385
17,Ch 2-1,ASAP-0020915,1:1 Kinetic,149775.6154,6.337855413,0.404251758,5.752243723,2.70E-06,66.24082684,2.535915678
17,Ch 3-1,ASAP-0020915,1:1 Kinetic,227644.1077,4.496906502,0.46976177,4.289437659,2.06E-06,34.93209757,1.336027106
17,Ch 4-1,ASAP-0020915,1:1 Kinetic,227416.1804,7.459281375,0.62769324,4.916173955,2.76E-06,36.39621997,1.153144289
22,Ch 2-1,ASAP-0020915,1:1 Kinetic,145363.8853,6.192107948,0.407432464,5.494407198,2.80E-06,67.81678561,2.463576813
22,Ch 3-1,ASAP-0020915,1:1 Kinetic,217040.2686,4.223009299,0.455262896,4.074732169,2.10E-06,35.27158782,1.205315264
22,Ch 4-1,ASAP-0020915,1:1 Kinetic,209003.5358,7.553154791,0.611509582,4.933866379,2.93E-06,37.9691382,1.102620117
23,Ch 2-1,ASAP-0020915,1:1 Kinetic,142345.6308,6.131195149,0.401317306,5.439201288,2.82E-06,68.15002795,2.43918519
