Fc=1-13_X,Fc=1-13_Y,Fc=1-14_X,Fc=1-14_Y,Fc=1-15_X,Fc=1-15_Y,Fc=1-16_X,Fc=1-16_Y,Fc=1-17_X,Fc=1-17_Y,Fc=1-22_X,Fc=1-22_Y,Fc=1-23_X,Fc=1-23_Y,Fc=1-24_X,Fc=1-24_Y,Fc=1-25_X,Fc=1-25_Y,Fc=1-26_X,Fc=1-26_Y,Fc=1-30_X,Fc=1-30_Y,Fc=1-31_X,Fc=1-31_Y,Fc=1-32_X,Fc=1-32_Y,Fc=1-33_X,Fc=1-33_Y,Fc=1-34_X,Fc=1-34_Y,Fc=2-13_X,Fc=2-13_Y,Fc=2-14_X,Fc=2-14_Y,Fc=2-15_X,Fc=2-15_Y,Fc=2-16_X,Fc=2-16_Y,Fc=2-17_X,Fc=2-17_Y,Fc=2-22_X,Fc=2-22_Y,Fc=2-23_X,Fc=2-23_Y,Fc=2-24_X,Fc=2-24_Y,Fc=2-25_X,Fc=2-25_Y,Fc=2-26_X,Fc=2-26_Y,Fc=2-30_X,Fc=2-30_Y,Fc=2-31_X,Fc=2-31_Y,Fc=2-32_X,Fc=2-32_Y,Fc=2-33_X,Fc=2-33_Y,Fc=2-34_X,Fc=2-34_Y,Fc=3-13_X,Fc=3-13_Y,Fc=3-14_X,Fc=3-14_Y,Fc=3-15_X,Fc=3-15_Y,Fc=3-16_X,Fc=3-16_Y,Fc=3-17_X,Fc=3-17_Y,Fc=3-22_X,Fc=3-22_Y,Fc=3-23_X,Fc=3-23_Y,Fc=3-24_X,Fc=3-24_Y,Fc=3-25_X,Fc=3-25_Y,Fc=3-26_X,Fc=3-26_Y,Fc=3-30_X,Fc=3-30_Y,Fc=3-31_X,Fc=3-31_Y,Fc=3-32_X,Fc=3-32_Y,Fc=3-33_X,Fc=3-33_Y,Fc=3-34_X,Fc=3-34_Y,Fc=4-13_X,Fc=4-13_Y,Fc=4-14_X,Fc=4-14_Y,Fc=4-15_X,Fc=4-15_Y,Fc=4-16_X,Fc=4-16_Y,Fc=4-17_X,Fc=4-17_Y,Fc=4-22_X,Fc=4-22_Y,Fc=4-23_X,Fc=4-23_Y,Fc=4-24_X,Fc=4-24_Y,Fc=4-25_X,Fc=4-25_Y,Fc=4-26_X,Fc=4-26_Y,Fc=4-30_X,Fc=4-30_Y,Fc=4-31_X,Fc=4-31_Y,Fc=4-32_X,Fc=4-32_Y,Fc=4-33_X,Fc=4-33_Y,Fc=4-34_X,Fc=4-34_Y
-69.925,-0.181,-69.925,-0.008,-69.925,-0.258,-69.925,-0.492,-69.925,-0.22,-69.925,0.161,-69.925,-0.196,-69.925,-0.228,-69.925,0.025,-69.925,0.048,-69.925,-0.058,-69.925,-0.01,-69.925,-0.255,-69.925,-0.235,-69.925,-0.19,-69.925,-0.019,-69.925,2.964,-69.925,2.985,-69.925,-0.469,-69.925,-0.576,-69.925,-0.007,-69.925,2.794,-69.925,2.722,-69.925,0.03,-69.925,0.139,-69.925,-0.02,-69.925,2.919,-69.925,2.777,-69.925,0.617,-69.925,-0.21,-69.925,-0.169,-69.925,2.021,-69.925,2.119,-69.925,-0.205,-69.925,-0.257,-69.925,0.031,-69.925,2,-69.925,1.982,-69.925,0.067,-69.925,0.038,-69.925,-0.099,-69.925,2.034,-69.925,1.772,-69.925,0.471,-69.925,-0.07,-69.925,-0.06,-69.925,1.309,-69.925,1.255,-69.925,-0.525,-69.925,-0.467,-69.925,-0.027,-69.925,1.127,-69.925,1.163,-69.925,0.044,-69.925,0.132,-69.925,0.078,-69.925,1.361,-69.925,1.094,-69.925,0.315,-69.925,-0.14
-69.9,-0.15,-69.9,-0.071,-69.9,-0.164,-69.9,-0.492,-69.9,-0.189,-69.9,-0.057,-69.9,-0.133,-69.9,-0.291,-69.9,0.213,-69.9,-0.046,-69.9,-0.308,-69.9,-0.041,-69.9,-0.505,-69.9,-0.048,-69.9,-0.25,-69.9,-0.091,-69.9,2.993,-69.9,2.915,-69.9,-0.497,-69.9,-0.551,-69.9,-0.102,-69.9,2.889,-69.9,2.718,-69.9,0.231,-69.9,0.012,-69.9,-0.001,-69.9,2.841,-69.9,2.809,-69.9,0.664,-69.9,-0.22,-69.9,-0.192,-69.9,2.029,-69.9,2.115,-69.9,-0.221,-69.9,-0.214,-69.9,-0.082,-69.9,2.078,-69.9,1.892,-69.9,0.184,-69.9,-0.051,-69.9,-0.102,-69.9,1.975,-69.9,1.807,-69.9,0.506,-69.9,-0.1,-69.9,-0.079,-69.9,1.336,-69.9,1.239,-69.9,-0.58,-69.9,-0.467,-69.9,-0.16,-69.9,1.229,-69.9,1.175,-69.9,0.215,-69.9,0.038,-69.9,0.097,-69.9,1.299,-69.9,1.126,-69.9,0.374,-69.9,-0.15
-69.875,-0.119,-69.875,-0.04,-69.875,-0.133,-69.875,-0.367,-69.875,-0.251,-69.875,-0.089,-69.875,-0.133,-69.875,-0.322,-69.875,0.15,-69.875,0.017,-69.875,0.129,-69.875,-0.01,-69.875,-0.068,-69.875,0.39,-69.875,0.21,-69.875,-0.093,-69.875,2.987,-69.875,2.901,-69.875,-0.456,-69.875,-0.49,-69.875,-0.059,-69.875,2.862,-69.875,2.683,-69.875,0.187,-69.875,0.047,-69.875,0.011,-69.875,2.843,-69.875,2.748,-69.875,0.703,-69.875,-0.06,-69.875,-0.161,-69.875,2.076,-69.875,2.092,-69.875,-0.162,-69.875,-0.229,-69.875,-0.039,-69.875,2.019,-69.875,1.907,-69.875,0.141,-69.875,0.003,-69.875,-0.13,-69.875,1.987,-69.875,1.721,-69.875,0.424,-69.875,-0.05,-69.875,-0.091,-69.875,1.352,-69.875,1.235,-69.875,-0.502,-69.875,-0.514,-69.875,-0.137,-69.875,1.272,-69.875,1.163,-69.875,0.188,-69.875,0.089,-69.875,0.078,-69.875,1.311,-69.875,1.067,-69.875,0.382,-69.875,-0.05
-69.85,-0.119,-69.85,-0.008,-69.85,-0.101,-69.85,-0.336,-69.85,-0.189,-69.85,-0.026,-69.85,-0.102,-69.85,-0.259,-69.85,0.056,-69.85,0.111,-69.85,0.223,-69.85,-0.01,-69.85,-0.068,-69.85,0.358,-69.85,0.21,-69.85,-0.056,-69.85,2.929,-69.85,2.985,-69.85,-0.53,-69.85,-0.326,-69.85,-0.05,-69.85,2.827,-69.85,2.716,-69.85,0.108,-69.85,0.108,-69.85,0.108,-69.85,2.923,-69.85,2.82,-69.85,0.779,-69.85,-0.07,-69.85,-0.153,-69.85,2.049,-69.85,2.1,-69.85,-0.229,-69.85,-0.116,-69.85,0.031,-69.85,1.965,-69.85,2.032,-69.85,0.126,-69.85,0.046,-69.85,-0.024,-69.85,2.006,-69.85,1.772,-69.85,0.44,-69.85,-0.01,-69.85,-0.04,-69.85,1.305,-69.85,1.345,-69.85,-0.521,-69.85,-0.475,-69.85,-0.047,-69.85,1.24,-69.85,1.198,-69.85,0.145,-69.85,0.089,-69.85,0.195,-69.85,1.385,-69.85,1.149,-69.85,0.491,-69.85,-0.01
-69.825,-0.119,-69.825,-0.008,-69.825,0.211,-69.825,-0.054,-69.825,-0.564,-69.825,-0.026,-69.825,-0.008,-69.825,-0.259,-69.825,0.181,-69.825,0.079,-69.825,0.348,-69.825,0.084,-69.825,-0.036,-69.825,0.327,-69.825,-0.19,-69.825,-0.097,-69.825,2.903,-69.825,2.874,-69.825,-0.555,-69.825,-0.369,-69.825,-0.153,-69.825,2.852,-69.825,2.714,-69.825,0.237,-69.825,0.07,-69.825,0.2,-69.825,3.017,-69.825,2.899,-69.825,0.69,-69.825,-0.11,-69.825,-0.2,-69.825,2.033,-69.825,1.99,-69.825,-0.303,-69.825,-0.018,-69.825,-0.047,-69.825,2.027,-69.825,1.997,-69.825,0.243,-69.825,-0.016,-69.825,-0.001,-69.825,1.999,-69.825,1.799,-69.825,0.455,-69.825,0,-69.825,0.007,-69.825,1.309,-69.825,1.294,-69.825,-0.58,-69.825,-0.479,-69.825,-0.109,-69.825,1.26,-69.825,1.132,-69.825,0.239,-69.825,0.062,-69.825,0.269,-69.825,1.451,-69.825,1.212,-69.825,0.432,-69.825,-0.01
-69.8,0.194,-69.8,0.023,-69.8,0.055,-69.8,-0.211,-69.8,-0.532,-69.8,-0.307,-69.8,0.242,-69.8,-0.166,-69.8,-0.131,-69.8,0.486,-69.8,0.192,-69.8,0.021,-69.8,-0.13,-69.8,0.265,-69.8,-0.19,-69.8,-0.165,-69.8,2.985,-69.8,2.837,-69.8,-0.547,-69.8,-0.498,-69.8,-0.087,-69.8,2.741,-69.8,2.798,-69.8,0.237,-69.8,0.074,-69.8,0.179,-69.8,2.964,-69.8,2.988,-69.8,0.694,-69.8,-0.06,-69.8,-0.286,-69.8,2.099,-69.8,2.014,-69.8,-0.272,-69.8,-0.1,-69.8,0,-69.8,1.976,-69.8,2.001,-69.8,0.259,-69.8,-0.028,-69.8,-0.032,-69.8,2.022,-69.8,1.842,-69.8,0.51,-69.8,-0.02,-69.8,-0.076,-69.8,1.383,-69.8,1.251,-69.8,-0.537,-69.8,-0.526,-69.8,-0.07,-69.8,1.17,-69.8,1.171,-69.8,0.301,-69.8,0.042,-69.8,0.179,-69.8,1.42,-69.8,1.278,-69.8,0.206,-69.8,-0.03
-69.775,-0.275,-69.775,-0.04,-69.775,-0.289,-69.775,-0.679,-69.775,-0.095,-69.775,0.068,-69.775,-0.164,-69.775,-0.166,-69.775,0.338,-69.775,-0.077,-69.775,0.129,-69.775,0.021,-69.775,-0.161,-69.775,0.296,-69.775,-0.22,-69.775,-0.118,-69.775,2.964,-69.775,2.985,-69.775,-0.639,-69.775,-0.479,-69.775,-0.091,-69.775,2.762,-69.775,2.808,-69.775,0.194,-69.775,0.002,-69.775,0.146,-69.775,3.005,-69.775,2.957,-69.775,0.867,-69.775,-0.1,-69.775,-0.192,-69.775,2.056,-69.775,2.185,-69.775,-0.283,-69.775,-0.171,-69.775,-0.024,-69.775,2.043,-69.775,2.044,-69.775,0.184,-69.775,0.077,-69.775,0.011,-69.775,2.12,-69.775,1.834,-69.775,0.604,-69.775,-0.02,-69.775,-0.076,-69.775,1.352,-69.775,1.345,-69.775,-0.545,-69.775,-0.522,-69.775,-0.09,-69.775,1.147,-69.775,1.202,-69.775,0.282,-69.775,-0.157,-69.775,-0.051,-69.775,1.275,-69.775,1.13,-69.775,0.124,-69.775,-0.08
-69.75,-0.213,-69.75,-0.04,-69.75,-0.351,-69.75,-0.554,-69.75,-0.345,-69.75,-0.057,-69.75,-0.102,-69.75,-0.228,-69.75,0.244,-69.75,-0.014,-69.75,0.129,-69.75,0.052,-69.75,-0.099,-69.75,0.358,-69.75,-0.13,-69.75,-0.066,-69.75,2.958,-69.75,2.913,-69.75,-0.596,-69.75,-0.68,-69.75,-0.21,-69.75,2.889,-69.75,2.747,-69.75,0.2,-69.75,0.115,-69.75,0.159,-69.75,3.077,-69.75,2.918,-69.75,0.959,-69.75,-0.06,-69.75,-0.079,-69.75,2.013,-69.75,2.185,-69.75,-0.318,-69.75,-0.284,-69.75,-0.078,-69.75,2.105,-69.75,2.04,-69.75,0.27,-69.75,0.132,-69.75,0.023,-69.75,2.135,-69.75,1.834,-69.75,0.674,-69.75,0.03,-69.75,-0.064,-69.75,1.36,-69.75,1.239,-69.75,-0.471,-69.75,-0.666,-69.75,-0.215,-69.75,1.131,-69.75,1.104,-69.75,0.122,-69.75,-0.212,-69.75,-0.203,-69.75,1.139,-69.75,0.938,-69.75,0.21,-69.75,-0.01
-69.725,-0.244,-69.725,0.023,-69.725,-0.195,-69.725,-0.398,-69.725,-0.439,-69.725,-0.057,-69.725,-0.102,-69.725,-0.322,-69.725,0.15,-69.725,0.048,-69.725,0.192,-69.725,0.146,-69.725,-0.005,-69.725,-0.048,-69.725,-0.03,-69.725,-0.095,-69.725,3.003,-69.725,2.968,-69.725,-0.514,-69.725,-0.723,-69.725,-0.096,-69.725,2.881,-69.725,2.665,-69.725,0.249,-69.725,0.207,-69.725,0.181,-69.725,3.097,-69.725,3.018,-69.725,0.899,-69.725,0,-69.725,-0.052,-69.725,2.091,-69.725,2.24,-69.725,-0.33,-69.725,-0.331,-69.725,-0.012,-69.725,2.125,-69.725,1.985,-69.725,0.263,-69.725,0.093,-69.725,-0.009,-69.725,2.143,-69.725,1.9,-69.725,0.721,-69.725,0.08,-69.725,-0.111,-69.725,1.403,-69.725,1.251,-69.725,-0.392,-69.725,-0.659,-69.725,-0.188,-69.725,1.076,-69.725,0.96,-69.725,-0.074,-69.725,-0.134,-69.725,-0.055,-69.725,1.209,-69.725,0.969,-69.725,0.233,-69.725,0.03
-69.7,-0.119,-69.7,-0.071,-69.7,-0.039,-69.7,-0.367,-69.7,-0.345,-69.7,0.005,-69.7,-0.133,-69.7,-0.353,-69.7,0.275,-69.7,0.017,-69.7,-0.09,-69.7,0.177,-69.7,-0.411,-69.7,-0.017,-69.7,-0.06,-69.7,0.005,-69.7,2.929,-69.7,3.071,-69.7,-0.452,-69.7,-0.611,-69.7,-0.042,-69.7,2.825,-69.7,2.622,-69.7,0.382,-69.7,0.102,-69.7,0.114,-69.7,3.015,-69.7,2.904,-69.7,0.815,-69.7,-0.01,-69.7,-0.04,-69.7,2.08,-69.7,2.256,-69.7,-0.279,-69.7,-0.288,-69.7,0.004,-69.7,2.101,-69.7,1.966,-69.7,0.298,-69.7,0.015,-69.7,0.069,-69.7,2.159,-69.7,1.912,-69.7,0.682,-69.7,0.04,-69.7,-0.052,-69.7,1.317,-69.7,1.337,-69.7,-0.322,-69.7,-0.592,-69.7,-0.117,-69.7,1.088,-69.7,0.889,-69.7,-0.035,-69.7,-0.165,-69.7,0.125,-69.7,1.217,-69.7,0.907,-69.7,0.171,-69.7,0
-69.675,-0.025,-69.675,-0.04,-69.675,-0.258,-69.675,-0.336,-69.675,-0.376,-69.675,-0.057,-69.675,-0.196,-69.675,-0.353,-69.675,0.275,-69.675,0.173,-69.675,0.379,-69.675,0.209,-69.675,0.182,-69.675,0.608,-69.675,0.24,-69.675,0.058,-69.675,2.952,-69.675,2.884,-69.675,-0.448,-69.675,-0.629,-69.675,-0.116,-69.675,2.71,-69.675,2.712,-69.675,0.31,-69.675,0.199,-69.675,0.056,-69.675,3.04,-69.675,3.004,-69.675,0.926,-69.675,-0.01,-69.675,-0.024,-69.675,2.095,-69.675,2.1,-69.675,-0.272,-69.675,-0.307,-69.675,-0.035,-69.675,1.996,-69.675,2.036,-69.675,0.337,-69.675,0.132,-69.675,0.066,-69.675,2.229,-69.675,1.982,-69.675,0.717,-69.675,-0.01,-69.675,0.007,-69.675,1.328,-69.675,1.231,-69.675,-0.373,-69.675,-0.67,-69.675,-0.106,-69.675,1.049,-69.675,0.979,-69.675,-0.07,-69.675,-0.052,-69.675,0.136,-69.675,1.252,-69.675,0.989,-69.675,0.218,-69.675,-0.01
-69.65,-0.213,-69.65,0.054,-69.65,-0.383,-69.65,-0.304,-69.65,-0.314,-69.65,-0.089,-69.65,-0.164,-69.65,-0.384,-69.65,0.369,-69.65,0.236,-69.65,0.473,-69.65,0.365,-69.65,0.495,-69.65,0.608,-69.65,0.15,-69.65,-0.216,-69.65,3.026,-69.65,2.763,-69.65,-0.385,-69.65,-0.442,-69.65,-0.104,-69.65,2.68,-69.65,2.644,-69.65,0.386,-69.65,0.279,-69.65,0.265,-69.65,3.226,-69.65,3.33,-69.65,0.955,-69.65,-0.05,-69.65,-0.169,-69.65,2.15,-69.65,2.033,-69.65,-0.178,-69.65,-0.268,-69.65,-0.008,-69.65,1.98,-69.65,1.962,-69.65,0.442,-69.65,0.202,-69.65,0.171,-69.65,2.319,-69.65,2.213,-69.65,0.698,-69.65,-0.02,-69.65,-0.189,-69.65,1.403,-69.65,1.165,-69.65,-0.533,-69.65,-0.409,-69.65,-0.082,-69.65,1.045,-69.65,0.979,-69.65,0.024,-69.65,0.015,-69.65,0.332,-69.65,1.424,-69.65,1.282,-69.65,0.28,-69.65,-0.07
-69.625,-0.275,-69.625,-0.071,-69.625,0.086,-69.625,0.008,-69.625,-0.564,-69.625,-0.057,-69.625,-0.164,-69.625,-0.353,-69.625,0.494,-69.625,0.267,-69.625,0.317,-69.625,0.365,-69.625,0.276,-69.625,0.452,-69.625,-0.22,-69.625,-0.269,-69.625,2.929,-69.625,2.794,-69.625,-0.297,-69.625,-0.459,-69.625,-0.106,-69.625,2.6,-69.625,2.558,-69.625,0.589,-69.625,0.315,-69.625,0.185,-69.625,3.204,-69.625,3.135,-69.625,0.858,-69.625,-0.09,-69.625,-0.219,-69.625,2.056,-69.625,2.021,-69.625,-0.1,-69.625,-0.272,-69.625,-0.008,-69.625,1.918,-69.625,1.9,-69.625,0.556,-69.625,0.214,-69.625,0.124,-69.625,2.295,-69.625,2.143,-69.625,0.573,-69.625,0.01,-69.625,-0.251,-69.625,1.34,-69.625,1.169,-69.625,-0.631,-69.625,-0.194,-69.625,-0.102,-69.625,1.01,-69.625,0.952,-69.625,0.184,-69.625,0.007,-69.625,0.246,-69.625,1.377,-69.625,1.149,-69.625,0.401,-69.625,-0.07
-69.6,0.194,-69.6,-0.133,-69.6,0.149,-69.6,-0.148,-69.6,-0.564,-69.6,-0.432,-69.6,0.148,-69.6,-0.416,-69.6,0.025,-69.6,0.673,-69.6,0.129,-69.6,0.365,-69.6,0.151,-69.6,0.452,-69.6,-0.06,-69.6,-0.155,-69.6,2.89,-69.6,2.882,-69.6,-0.344,-69.6,-0.647,-69.6,-0.159,-69.6,2.575,-69.6,2.505,-69.6,0.521,-69.6,0.35,-69.6,-0.038,-69.6,3.22,-69.6,2.984,-69.6,0.865,-69.6,-0.01,-69.6,-0.294,-69.6,2.049,-69.6,2.064,-69.6,-0.131,-69.6,-0.307,-69.6,-0.035,-69.6,1.824,-69.6,1.864,-69.6,0.505,-69.6,0.202,-69.6,0.007,-69.6,2.327,-69.6,2.065,-69.6,0.612,-69.6,0.08,-69.6,-0.091,-69.6,1.325,-69.6,1.255,-69.6,-0.685,-69.6,-0.405,-69.6,-0.129,-69.6,0.967,-69.6,0.921,-69.6,0.126,-69.6,0.011,-69.6,0.031,-69.6,1.357,-69.6,1.059,-69.6,0.604,-69.6,0.03
-69.575,-0.119,-69.575,-0.102,-69.575,-0.289,-69.575,-0.461,-69.575,-0.22,-69.575,0.068,-69.575,-0.133,-69.575,-0.416,-69.575,0.4,-69.575,0.267,-69.575,0.16,-69.575,0.427,-69.575,0.151,-69.575,0.421,-69.575,-0.06,-69.575,-0.136,-69.575,2.847,-69.575,2.874,-69.575,-0.317,-69.575,-0.526,-69.575,-0.122,-69.575,2.801,-69.575,2.474,-69.575,0.394,-69.575,0.32,-69.575,0.077,-69.575,3.322,-69.575,3.08,-69.575,0.912,-69.575,-0.03,-69.575,-0.305,-69.575,2.041,-69.575,2.107,-69.575,-0.014,-69.575,-0.264,-69.575,-0.11,-69.575,2.004,-69.575,1.735,-69.575,0.341,-69.575,0.285,-69.575,0.034,-69.575,2.374,-69.575,2.084,-69.575,0.643,-69.575,0.05,-69.575,0.182,-69.575,1.282,-69.575,1.278,-69.575,-0.631,-69.575,-0.518,-69.575,-0.133,-69.575,1.135,-69.575,1.003,-69.575,0.028,-69.575,0.089,-69.575,0.105,-69.575,1.436,-69.575,1.083,-69.575,0.647,-69.575,0.01
-69.55,-0.119,-69.55,0.023,-69.55,-0.383,-69.55,-0.461,-69.55,-0.314,-69.55,0.161,-69.55,-0.164,-69.55,-0.259,-69.55,0.4,-69.55,0.298,-69.55,0.129,-69.55,0.365,-69.55,0.026,-69.55,0.327,-69.55,-0.06,-69.55,-0.165,-69.55,2.854,-69.55,2.843,-69.55,-0.376,-69.55,-0.508,-69.55,0.081,-69.55,2.766,-69.55,2.669,-69.55,0.384,-69.55,0.283,-69.55,0.083,-69.55,3.232,-69.55,3.004,-69.55,0.869,-69.55,-0.02,-69.55,-0.266,-69.55,2.009,-69.55,2.17,-69.55,-0.01,-69.55,-0.307,-69.55,0.008,-69.55,1.906,-69.55,1.759,-69.55,0.388,-69.55,0.3,-69.55,0.007,-69.55,2.315,-69.55,1.971,-69.55,0.561,-69.55,0.03,-69.55,0.284,-69.55,1.289,-69.55,1.091,-69.55,-0.65,-69.55,-0.58,-69.55,0.027,-69.55,1.221,-69.55,1.362,-69.55,0.083,-69.55,0.085,-69.55,0.129,-69.55,1.416,-69.55,1.044,-69.55,0.538,-69.55,0.01
-69.525,-0.213,-69.525,0.117,-69.525,-0.414,-69.525,-0.367,-69.525,-0.407,-69.525,0.036,-69.525,-0.164,-69.525,-0.322,-69.525,0.369,-69.525,0.173,-69.525,0.129,-69.525,0.271,-69.525,0.151,-69.525,-0.079,-69.525,-0.06,-69.525,-0.151,-69.525,2.948,-69.525,2.907,-69.525,-0.391,-69.525,-0.654,-69.525,0.003,-69.525,2.756,-69.525,2.62,-69.525,0.333,-69.525,0.205,-69.525,-0.018,-69.525,3.075,-69.525,2.992,-69.525,0.791,-69.525,-0.02,-69.525,-0.161,-69.525,2.06,-69.525,2.221,-69.525,-0.041,-69.525,-0.37,-69.525,-0.016,-69.525,1.832,-69.525,1.786,-69.525,0.384,-69.525,0.214,-69.525,-0.013,-69.525,2.272,-69.525,1.955,-69.525,0.58,-69.525,0.03,-69.525,0.143,-69.525,1.383,-69.525,0.997,-69.525,-0.615,-69.525,-0.702,-69.525,-0.047,-69.525,1.436,-69.525,1.421,-69.525,0.051,-69.525,-0.052,-69.525,0.086,-69.525,1.307,-69.525,1.286,-69.525,0.479,-69.525,0.03
