Fc=2-1-13_X,Fc=2-1-13_Y,Fc=2-1-14_X,Fc=2-1-14_Y,Fc=2-1-15_X,Fc=2-1-15_Y,Fc=2-1-16_X,Fc=2-1-16_Y,Fc=2-1-17_X,Fc=2-1-17_Y,Fc=2-1-22_X,Fc=2-1-22_Y,Fc=2-1-23_X,Fc=2-1-23_Y,Fc=2-1-24_X,Fc=2-1-24_Y,Fc=2-1-25_X,Fc=2-1-25_Y,Fc=2-1-26_X,Fc=2-1-26_Y,Fc=2-1-30_X,Fc=2-1-30_Y,Fc=2-1-31_X,Fc=2-1-31_Y,Fc=2-1-32_X,Fc=2-1-32_Y,Fc=2-1-33_X,Fc=2-1-33_Y,Fc=2-1-34_X,Fc=2-1-34_Y,Fc=3-1-13_X,Fc=3-1-13_Y,Fc=3-1-14_X,Fc=3-1-14_Y,Fc=3-1-15_X,Fc=3-1-15_Y,Fc=3-1-16_X,Fc=3-1-16_Y,Fc=3-1-17_X,Fc=3-1-17_Y,Fc=3-1-22_X,Fc=3-1-22_Y,Fc=3-1-23_X,Fc=3-1-23_Y,Fc=3-1-24_X,Fc=3-1-24_Y,Fc=3-1-25_X,Fc=3-1-25_Y,Fc=3-1-26_X,Fc=3-1-26_Y,Fc=3-1-30_X,Fc=3-1-30_Y,Fc=3-1-31_X,Fc=3-1-31_Y,Fc=3-1-32_X,Fc=3-1-32_Y,Fc=3-1-33_X,Fc=3-1-33_Y,Fc=3-1-34_X,Fc=3-1-34_Y,Fc=4-1-13_X,Fc=4-1-13_Y,Fc=4-1-14_X,Fc=4-1-14_Y,Fc=4-1-15_X,Fc=4-1-15_Y,Fc=4-1-16_X,Fc=4-1-16_Y,Fc=4-1-17_X,Fc=4-1-17_Y,Fc=4-1-22_X,Fc=4-1-22_Y,Fc=4-1-23_X,Fc=4-1-23_Y,Fc=4-1-24_X,Fc=4-1-24_Y,Fc=4-1-25_X,Fc=4-1-25_Y,Fc=4-1-26_X,Fc=4-1-26_Y,Fc=4-1-30_X,Fc=4-1-30_Y,Fc=4-1-31_X,Fc=4-1-31_Y,Fc=4-1-32_X,Fc=4-1-32_Y,Fc=4-1-33_X,Fc=4-1-33_Y,Fc=4-1-34_X,Fc=4-1-34_Y
-69.925,0.163,-69.925,2.972,-69.925,3.243,-69.925,0.023,-69.925,-0.356,-69.925,-0.168,-69.925,2.989,-69.925,2.95,-69.925,0.005,-69.925,0.091,-69.925,0.038,-69.925,2.929,-69.925,3.032,-69.925,0.853,-69.925,-0.01,-69.925,0.013,-69.925,2.03,-69.925,2.377,-69.925,0.287,-69.925,-0.037,-69.925,-0.13,-69.925,2.195,-69.925,2.21,-69.925,0.042,-69.925,-0.01,-69.925,-0.04,-69.925,2.044,-69.925,2.027,-69.925,0.706,-69.925,0.11,-69.925,0.121,-69.925,1.317,-69.925,1.513,-69.925,-0.033,-69.925,-0.247,-69.925,-0.189,-69.925,1.323,-69.925,1.391,-69.925,0.018,-69.925,0.084,-69.925,0.136,-69.925,1.371,-69.925,1.349,-69.925,0.551,-69.925,0.04
-69.9,0.059,-69.9,3.064,-69.9,3.079,-69.9,-0.005,-69.9,-0.362,-69.9,-0.045,-69.9,3.022,-69.9,3.008,-69.9,0.019,-69.9,0.057,-69.9,0.307,-69.9,2.882,-69.9,3.314,-69.9,0.712,-69.9,0.02,-69.9,-0.042,-69.9,2.1,-69.9,2.279,-69.9,0.271,-69.9,-0.025,-69.9,-0.025,-69.9,2.211,-69.9,2.182,-69.9,-0.028,-69.9,-0.006,-69.9,0.206,-69.9,2.016,-69.9,2.312,-69.9,0.554,-69.9,0.15,-69.9,0.071,-69.9,1.407,-69.9,1.403,-69.9,-0.088,-69.9,-0.279,-69.9,-0.103,-69.9,1.362,-69.9,1.465,-69.9,0.003,-69.9,0.084,-69.9,0.406,-69.9,1.34,-69.9,1.631,-69.9,0.422,-69.9,0.09
-69.875,0.026,-69.875,3.027,-69.875,3.034,-69.875,-0.089,-69.875,-0.239,-69.875,0.029,-69.875,2.995,-69.875,3.004,-69.875,0.036,-69.875,0.03,-69.875,-0.118,-69.875,2.853,-69.875,2.816,-69.875,0.314,-69.875,-0.27,-69.875,-0.042,-69.875,2.116,-69.875,2.224,-69.875,0.205,-69.875,0.022,-69.875,0.049,-69.875,2.152,-69.875,2.229,-69.875,-0.009,-69.875,-0.014,-69.875,-0.259,-69.875,1.997,-69.875,1.788,-69.875,0.035,-69.875,-0.26,-69.875,0.028,-69.875,1.392,-69.875,1.368,-69.875,-0.135,-69.875,-0.263,-69.875,-0.048,-69.875,1.405,-69.875,1.485,-69.875,0.038,-69.875,0.072,-69.875,-0.051,-69.875,1.321,-69.875,1.135,-69.875,-0.008,-69.875,-0.27
-69.85,0.063,-69.85,2.937,-69.85,3.087,-69.85,-0.194,-69.85,-0.138,-69.85,-0.023,-69.85,2.929,-69.85,2.975,-69.85,0.052,-69.85,-0.003,-69.85,-0.115,-69.85,2.933,-69.85,2.888,-69.85,0.421,-69.85,-0.28,-69.85,-0.034,-69.85,2.057,-69.85,2.201,-69.85,0.107,-69.85,0.073,-69.85,0.057,-69.85,2.067,-69.85,2.292,-69.85,0.07,-69.85,-0.064,-69.85,-0.247,-69.85,2.016,-69.85,1.839,-69.85,0.081,-69.85,-0.22,-69.85,0.078,-69.85,1.314,-69.85,1.446,-69.85,-0.186,-69.85,-0.286,-69.85,-0.021,-69.85,1.342,-69.85,1.457,-69.85,0.089,-69.85,-0.022,-69.85,-0.028,-69.85,1.395,-69.85,1.217,-69.85,0.133,-69.85,-0.23
-69.825,0.022,-69.825,2.912,-69.825,2.663,-69.825,-0.501,-69.825,0.194,-69.825,-0.127,-69.825,2.86,-69.825,2.973,-69.825,0.056,-69.825,-0.009,-69.825,-0.148,-69.825,2.933,-69.825,2.935,-69.825,0.362,-69.825,0.08,-69.825,-0.081,-69.825,2.041,-69.825,1.779,-69.825,-0.248,-69.825,0.545,-69.825,-0.021,-69.825,2.035,-69.825,2.256,-69.825,0.062,-69.825,-0.096,-69.825,-0.349,-69.825,1.915,-69.825,1.835,-69.825,0.128,-69.825,0.19,-69.825,0.125,-69.825,1.317,-69.825,1.083,-69.825,-0.526,-69.825,0.085,-69.825,-0.083,-69.825,1.268,-69.825,1.391,-69.825,0.058,-69.825,-0.018,-69.825,-0.079,-69.825,1.368,-69.825,1.248,-69.825,0.105,-69.825,0.17
-69.8,-0.359,-69.8,2.962,-69.8,2.782,-69.8,-0.337,-69.8,0.034,-69.8,0.221,-69.8,2.499,-69.8,2.963,-69.8,0.369,-69.8,-0.411,-69.8,-0.013,-69.8,2.943,-69.8,3.118,-69.8,0.429,-69.8,0.13,-69.8,-0.48,-69.8,2.077,-69.8,1.959,-69.8,-0.061,-69.8,0.432,-69.8,0.307,-69.8,1.735,-69.8,2.167,-69.8,0.39,-69.8,-0.514,-69.8,-0.224,-69.8,2.001,-69.8,1.972,-69.8,0.246,-69.8,0.17,-69.8,-0.269,-69.8,1.36,-69.8,1.196,-69.8,-0.326,-69.8,0.007,-69.8,0.237,-69.8,0.928,-69.8,1.336,-69.8,0.433,-69.8,-0.444,-69.8,-0.012,-69.8,1.399,-69.8,1.408,-69.8,-0.059,-69.8,0.15
-69.775,0.157,-69.775,3.003,-69.775,3.274,-69.775,0.04,-69.775,-0.384,-69.775,-0.158,-69.775,2.927,-69.775,2.973,-69.775,-0.143,-69.775,0.079,-69.775,0.016,-69.775,2.984,-69.775,3.118,-69.775,0.571,-69.775,0.12,-69.775,0.083,-69.775,2.096,-69.775,2.474,-69.775,0.396,-69.775,-0.076,-69.775,-0.091,-69.775,2.207,-69.775,2.21,-69.775,-0.153,-69.775,0.154,-69.775,-0.118,-69.775,2.098,-69.775,1.995,-69.775,0.308,-69.775,0.19,-69.775,0.2,-69.775,1.392,-69.775,1.634,-69.775,0.135,-69.775,-0.427,-69.775,-0.157,-69.775,1.311,-69.775,1.367,-69.775,-0.056,-69.775,-0.08,-69.775,-0.18,-69.775,1.254,-69.775,1.291,-69.775,-0.172,-69.775,0.13
-69.75,0.147,-69.75,2.998,-69.75,3.265,-69.75,-0.042,-69.75,-0.335,-69.75,-0.152,-69.75,2.991,-69.75,2.975,-69.75,-0.044,-69.75,0.13,-69.75,0.03,-69.75,3.025,-69.75,3.017,-69.75,0.601,-69.75,0.07,-69.75,0.134,-69.75,2.053,-69.75,2.537,-69.75,0.236,-69.75,0.061,-69.75,-0.021,-69.75,2.207,-69.75,2.268,-69.75,0.027,-69.75,0.146,-69.75,-0.107,-69.75,2.083,-69.75,1.933,-69.75,0.316,-69.75,0.16,-69.75,0.149,-69.75,1.399,-69.75,1.591,-69.75,0.084,-69.75,-0.322,-69.75,-0.157,-69.75,1.233,-69.75,1.332,-69.75,-0.122,-69.75,-0.198,-69.75,-0.333,-69.75,1.086,-69.75,1.037,-69.75,-0.149,-69.75,0.11
-69.725,0.149,-69.725,2.98,-69.725,3.163,-69.725,-0.116,-69.725,-0.284,-69.725,-0.039,-69.725,2.983,-69.725,2.987,-69.725,0.099,-69.725,0.159,-69.725,-0.011,-69.725,2.951,-69.725,3.023,-69.725,0.946,-69.725,0.04,-69.725,0.192,-69.725,2.069,-69.725,2.435,-69.725,0.068,-69.725,0.108,-69.725,0.046,-69.725,2.227,-69.725,2.307,-69.725,0.113,-69.725,0.045,-69.725,-0.2,-69.725,1.997,-69.725,1.905,-69.725,0.769,-69.725,0.11,-69.725,0.133,-69.725,1.38,-69.725,1.446,-69.725,0.006,-69.725,-0.22,-69.725,-0.13,-69.725,1.178,-69.725,1.282,-69.725,-0.224,-69.725,-0.182,-69.725,-0.247,-69.725,1.063,-69.725,0.974,-69.725,0.281,-69.725,0.07
-69.7,0.124,-69.7,3,-69.7,3.11,-69.7,-0.085,-69.7,-0.267,-69.7,-0.047,-69.7,2.958,-69.7,2.975,-69.7,0.107,-69.7,0.085,-69.7,0.204,-69.7,2.837,-69.7,3.316,-69.7,0.831,-69.7,0.05,-69.7,0.079,-69.7,2.151,-69.7,2.295,-69.7,0.088,-69.7,0.057,-69.7,-0.001,-69.7,2.235,-69.7,2.319,-69.7,0.023,-69.7,-0.002,-69.7,0.159,-69.7,1.981,-69.7,2.323,-69.7,0.699,-69.7,0.11,-69.7,0.067,-69.7,1.388,-69.7,1.376,-69.7,0.045,-69.7,-0.247,-69.7,-0.122,-69.7,1.221,-69.7,1.242,-69.7,-0.31,-69.7,-0.182,-69.7,0.214,-69.7,1.039,-69.7,1.318,-69.7,0.187,-69.7,0.07
