Fc=2-1 - 11_X	Fc=2-1 - 11_Y	Fc=3-1 - 11_X	Fc=3-1 - 11_Y	Fc=4-1 - 11_X	Fc=4-1 - 11_Y	Fc=2-1 - 13_X	Fc=2-1 - 13_Y	Fc=3-1 - 13_X	Fc=3-1 - 13_Y	Fc=4-1 - 13_X	Fc=4-1 - 13_Y	Fc=2-1 - 14_X	Fc=2-1 - 14_Y	Fc=3-1 - 14_X	Fc=3-1 - 14_Y	Fc=4-1 - 14_X	Fc=4-1 - 14_Y	Fc=2-1 - 15_X	Fc=2-1 - 15_Y	Fc=3-1 - 15_X	Fc=3-1 - 15_Y	Fc=4-1 - 15_X	Fc=4-1 - 15_Y	Fc=2-1 - 16_X	Fc=2-1 - 16_Y	Fc=3-1 - 16_X	Fc=3-1 - 16_Y	Fc=4-1 - 16_X	Fc=4-1 - 16_Y	Fc=2-1 - 17_X	Fc=2-1 - 17_Y	Fc=3-1 - 17_X	Fc=3-1 - 17_Y	Fc=4-1 - 17_X	Fc=4-1 - 17_Y	Fc=2-1 - 20_X	Fc=2-1 - 20_Y	Fc=3-1 - 20_X	Fc=3-1 - 20_Y	Fc=4-1 - 20_X	Fc=4-1 - 20_Y	Fc=2-1 - 22_X	Fc=2-1 - 22_Y	Fc=3-1 - 22_X	Fc=3-1 - 22_Y	Fc=4-1 - 22_X	Fc=4-1 - 22_Y	Fc=2-1 - 23_X	Fc=2-1 - 23_Y	Fc=3-1 - 23_X	Fc=3-1 - 23_Y	Fc=4-1 - 23_X	Fc=4-1 - 23_Y	Fc=2-1 - 24_X	Fc=2-1 - 24_Y	Fc=3-1 - 24_X	Fc=3-1 - 24_Y	Fc=4-1 - 24_X	Fc=4-1 - 24_Y	Fc=2-1 - 25_X	Fc=2-1 - 25_Y	Fc=3-1 - 25_X	Fc=3-1 - 25_Y	Fc=4-1 - 25_X	Fc=4-1 - 25_Y	Fc=2-1 - 26_X	Fc=2-1 - 26_Y	Fc=3-1 - 26_X	Fc=3-1 - 26_Y	Fc=4-1 - 26_X	Fc=4-1 - 26_Y	Fc=2-1 - 28_X	Fc=2-1 - 28_Y	Fc=3-1 - 28_X	Fc=3-1 - 28_Y	Fc=4-1 - 28_X	Fc=4-1 - 28_Y	Fc=2-1 - 30_X	Fc=2-1 - 30_Y	Fc=3-1 - 30_X	Fc=3-1 - 30_Y	Fc=4-1 - 30_X	Fc=4-1 - 30_Y	Fc=2-1 - 31_X	Fc=2-1 - 31_Y	Fc=3-1 - 31_X	Fc=3-1 - 31_Y	Fc=4-1 - 31_X	Fc=4-1 - 31_Y	Fc=2-1 - 32_X	Fc=2-1 - 32_Y	Fc=3-1 - 32_X	Fc=3-1 - 32_Y	Fc=4-1 - 32_X	Fc=4-1 - 32_Y	Fc=2-1 - 33_X	Fc=2-1 - 33_Y	Fc=3-1 - 33_X	Fc=3-1 - 33_Y	Fc=4-1 - 33_X	Fc=4-1 - 33_Y	Fc=2-1 - 34_X	Fc=2-1 - 34_Y	Fc=3-1 - 34_X	Fc=3-1 - 34_Y	Fc=4-1 - 34_X	Fc=4-1 - 34_Y	Fc=2-1 - 36_X	Fc=2-1 - 36_Y	Fc=3-1 - 36_X	Fc=3-1 - 36_Y	Fc=4-1 - 36_X	Fc=4-1 - 36_Y
-69.975	0.220	-69.975	-0.026	-69.975	0.095	-69.975	0.163	-69.975	0.013	-69.975	0.121	-69.975	2.972	-69.975	2.030	-69.975	1.317	-69.975	3.243	-69.975	2.377	-69.975	1.513	-69.975	0.023	-69.975	0.287	-69.975	-0.033	-69.975	-0.356	-69.975	-0.037	-69.975	-0.247	-69.975	-0.018	-69.975	-0.063	-69.975	-0.030	-69.975	-0.168	-69.975	-0.130	-69.975	-0.189	-69.975	2.989	-69.975	2.195	-69.975	1.323	-69.975	2.950	-69.975	2.210	-69.975	1.391	-69.975	0.005	-69.975	0.042	-69.975	0.018	-69.975	0.091	-69.975	-0.010	-69.975	0.084	-69.975	-2.725	-69.975	-2.044	-69.975	-1.135	-69.975	0.038	-69.975	-0.040	-69.975	0.136	-69.975	2.929	-69.975	2.044	-69.975	1.371	-69.975	3.032	-69.975	2.027	-69.975	1.349	-69.975	0.853	-69.975	0.706	-69.975	0.551	-69.975	-0.018	-69.975	0.113	-69.975	0.049	-69.975	-2.543	-69.975	-1.792	-69.975	-1.16
-69.950	0.105	-69.950	-0.116	-69.950	0.068	-69.950	0.059	-69.950	-0.042	-69.950	0.071	-69.950	3.064	-69.950	2.100	-69.950	1.407	-69.950	3.079	-69.950	2.279	-69.950	1.403	-69.950	-0.005	-69.950	0.271	-69.950	-0.088	-69.950	-0.362	-69.950	-0.025	-69.950	-0.279	-69.950	0.022	-69.950	0.003	-69.950	0.044	-69.950	-0.045	-69.950	-0.025	-69.950	-0.103	-69.950	3.022	-69.950	2.211	-69.950	1.362	-69.950	3.008	-69.950	2.182	-69.950	1.465	-69.950	0.019	-69.950	-0.028	-69.950	0.003	-69.950	0.057	-69.950	-0.006	-69.950	0.084	-69.950	-2.782	-69.950	-2.103	-69.950	-1.116	-69.950	0.307	-69.950	0.206	-69.950	0.406	-69.950	2.882	-69.950	2.016	-69.950	1.340	-69.950	3.314	-69.950	2.312	-69.950	1.631	-69.950	0.712	-69.950	0.554	-69.950	0.422	-69.950	0.027	-69.950	0.152	-69.950	0.096	-69.950	-2.551	-69.950	-1.769	-69.950	-1.13
-69.925	-0.047	-69.925	-0.210	-69.925	0.036	-69.925	0.026	-69.925	-0.042	-69.925	0.028	-69.925	3.027	-69.925	2.116	-69.925	1.392	-69.925	3.034	-69.925	2.224	-69.925	1.368	-69.925	-0.089	-69.925	0.205	-69.925	-0.135	-69.925	-0.239	-69.925	0.022	-69.925	-0.263	-69.925	-0.012	-69.925	0.011	-69.925	0.044	-69.925	0.029	-69.925	0.049	-69.925	-0.048	-69.925	2.995	-69.925	2.152	-69.925	1.405	-69.925	3.004	-69.925	2.229	-69.925	1.485	-69.925	0.036	-69.925	-0.009	-69.925	0.038	-69.925	0.030	-69.925	-0.014	-69.925	0.072	-69.925	-2.916	-69.925	-2.161	-69.925	-1.119	-69.925	-0.118	-69.925	-0.259	-69.925	-0.051	-69.925	2.853	-69.925	1.997	-69.925	1.321	-69.925	2.816	-69.925	1.788	-69.925	1.135	-69.925	0.314	-69.925	0.035	-69.925	-0.008	-69.925	-0.277	-69.925	-0.269	-69.925	-0.271	-69.925	-2.538	-69.925	-1.769	-69.925	-1.12
-69.900	-0.044	-69.900	-0.288	-69.900	-0.011	-69.900	0.063	-69.900	-0.034	-69.900	0.078	-69.900	2.937	-69.900	2.057	-69.900	1.314	-69.900	3.087	-69.900	2.201	-69.900	1.446	-69.900	-0.194	-69.900	0.107	-69.900	-0.186	-69.900	-0.138	-69.900	0.073	-69.900	-0.286	-69.900	-0.064	-69.900	-0.055	-69.900	-0.003	-69.900	-0.023	-69.900	0.057	-69.900	-0.021	-69.900	2.929	-69.900	2.067	-69.900	1.342	-69.900	2.975	-69.900	2.292	-69.900	1.457	-69.900	0.052	-69.900	0.070	-69.900	0.089	-69.900	-0.003	-69.900	-0.064	-69.900	-0.022	-69.900	-2.893	-69.900	-2.114	-69.900	-1.123	-69.900	-0.115	-69.900	-0.247	-69.900	-0.028	-69.900	2.933	-69.900	2.016	-69.900	1.395	-69.900	2.888	-69.900	1.839	-69.900	1.217	-69.900	0.421	-69.900	0.081	-69.900	0.133	-69.900	-0.283	-69.900	-0.226	-69.900	-0.232	-69.900	-2.561	-69.900	-1.886	-69.900	-1.14
-69.875	0.015	-69.875	-0.229	-69.875	-0.026	-69.875	0.022	-69.875	-0.081	-69.875	0.125	-69.875	2.912	-69.875	2.041	-69.875	1.317	-69.875	2.663	-69.875	1.779	-69.875	1.083	-69.875	-0.501	-69.875	-0.248	-69.875	-0.526	-69.875	0.194	-69.875	0.545	-69.875	0.085	-69.875	-0.074	-69.875	-0.044	-69.875	0.068	-69.875	-0.127	-69.875	-0.021	-69.875	-0.083	-69.875	2.860	-69.875	2.035	-69.875	1.268	-69.875	2.973	-69.875	2.256	-69.875	1.391	-69.875	0.056	-69.875	0.062	-69.875	0.058	-69.875	-0.009	-69.875	-0.096	-69.875	-0.018	-69.875	-2.864	-69.875	-2.165	-69.875	-1.159	-69.875	-0.148	-69.875	-0.349	-69.875	-0.079	-69.875	2.933	-69.875	1.915	-69.875	1.368	-69.875	2.935	-69.875	1.835	-69.875	1.248	-69.875	0.362	-69.875	0.128	-69.875	0.105	-69.875	0.080	-69.875	0.195	-69.875	0.174	-69.875	-2.618	-69.875	-1.909	-69.875	-1.10
-69.850	-0.296	-69.850	-0.514	-69.850	-0.358	-69.850	-0.359	-69.850	-0.480	-69.850	-0.269	-69.850	2.962	-69.850	2.077	-69.850	1.360	-69.850	2.782	-69.850	1.959	-69.850	1.196	-69.850	-0.337	-69.850	-0.061	-69.850	-0.326	-69.850	0.034	-69.850	0.432	-69.850	0.007	-69.850	-0.055	-69.850	0.011	-69.850	0.013	-69.850	0.221	-69.850	0.307	-69.850	0.237	-69.850	2.499	-69.850	1.735	-69.850	0.928	-69.850	2.963	-69.850	2.167	-69.850	1.336	-69.850	0.369	-69.850	0.390	-69.850	0.433	-69.850	-0.411	-69.850	-0.514	-69.850	-0.444	-69.850	-3.254	-69.850	-2.591	-69.850	-1.655	-69.850	-0.013	-69.850	-0.224	-69.850	-0.012	-69.850	2.943	-69.850	2.001	-69.850	1.399	-69.850	3.118	-69.850	1.972	-69.850	1.408	-69.850	0.429	-69.850	0.246	-69.850	-0.059	-69.850	0.133	-69.850	0.172	-69.850	0.155	-69.850	-2.573	-69.850	-1.757	-69.850	-1.20
-69.825	0.173	-69.825	-0.073	-69.825	0.044	-69.825	0.157	-69.825	0.083	-69.825	0.200	-69.825	3.003	-69.825	2.096	-69.825	1.392	-69.825	3.274	-69.825	2.474	-69.825	1.634	-69.825	0.040	-69.825	0.396	-69.825	0.135	-69.825	-0.384	-69.825	-0.076	-69.825	-0.427	-69.825	0.037	-69.825	0.113	-69.825	-0.175	-69.825	-0.158	-69.825	-0.091	-69.825	-0.157	-69.825	2.927	-69.825	2.207	-69.825	1.311	-69.825	2.973	-69.825	2.210	-69.825	1.367	-69.825	-0.143	-69.825	-0.153	-69.825	-0.056	-69.825	0.079	-69.825	0.154	-69.825	-0.080	-69.825	-2.758	-69.825	-1.931	-69.825	-1.350	-69.825	0.016	-69.825	-0.118	-69.825	-0.180	-69.825	2.984	-69.825	2.098	-69.825	1.254	-69.825	3.118	-69.825	1.995	-69.825	1.291	-69.825	0.571	-69.825	0.308	-69.825	-0.172	-69.825	0.123	-69.825	0.199	-69.825	0.135	-69.825	-2.440	-69.825	-1.706	-69.825	-1.32
-69.800	0.158	-69.800	-0.085	-69.800	-0.038	-69.800	0.147	-69.800	0.134	-69.800	0.149	-69.800	2.998	-69.800	2.053	-69.800	1.399	-69.800	3.265	-69.800	2.537	-69.800	1.591	-69.800	-0.042	-69.800	0.236	-69.800	0.084	-69.800	-0.335	-69.800	0.061	-69.800	-0.322	-69.800	0.080	-69.800	0.179	-69.800	-0.233	-69.800	-0.152	-69.800	-0.021	-69.800	-0.157	-69.800	2.991	-69.800	2.207	-69.800	1.233	-69.800	2.975	-69.800	2.268	-69.800	1.332	-69.800	-0.044	-69.800	0.027	-69.800	-0.122	-69.800	0.130	-69.800	0.146	-69.800	-0.198	-69.800	-2.741	-69.800	-1.970	-69.800	-1.518	-69.800	0.030	-69.800	-0.107	-69.800	-0.333	-69.800	3.025	-69.800	2.083	-69.800	1.086	-69.800	3.017	-69.800	1.933	-69.800	1.037	-69.800	0.601	-69.800	0.316	-69.800	-0.149	-69.800	0.070	-69.800	0.168	-69.800	0.116	-69.800	-2.444	-69.800	-1.835	-69.800	-1.37
-69.775	0.126	-69.775	0.017	-69.775	-0.026	-69.775	0.149	-69.775	0.192	-69.775	0.133	-69.775	2.980	-69.775	2.069	-69.775	1.380	-69.775	3.163	-69.775	2.435	-69.775	1.446	-69.775	-0.116	-69.775	0.068	-69.775	0.006	-69.775	-0.284	-69.775	0.108	-69.775	-0.220	-69.775	0.025	-69.775	0.120	-69.775	-0.260	-69.775	-0.039	-69.775	0.046	-69.775	-0.130	-69.775	2.983	-69.775	2.227	-69.775	1.178	-69.775	2.987	-69.775	2.307	-69.775	1.282	-69.775	0.099	-69.775	0.113	-69.775	-0.224	-69.775	0.159	-69.775	0.045	-69.775	-0.182	-69.775	-2.698	-69.775	-1.993	-69.775	-1.502	-69.775	-0.011	-69.775	-0.200	-69.775	-0.247	-69.775	2.951	-69.775	1.997	-69.775	1.063	-69.775	3.023	-69.775	1.905	-69.775	0.974	-69.775	0.946	-69.775	0.769	-69.775	0.281	-69.775	0.045	-69.775	0.117	-69.775	0.073	-69.775	-2.559	-69.775	-1.890	-69.775	-1.48
-69.750	0.046	-69.750	-0.053	-69.750	-0.081	-69.750	0.124	-69.750	0.079	-69.750	0.067	-69.750	3.000	-69.750	2.151	-69.750	1.388	-69.750	3.110	-69.750	2.295	-69.750	1.376	-69.750	-0.085	-69.750	0.088	-69.750	0.045	-69.750	-0.267	-69.750	0.057	-69.750	-0.247	-69.750	-0.070	-69.750	0.027	-69.750	-0.311	-69.750	-0.047	-69.750	-0.001	-69.750	-0.122	-69.750	2.958	-69.750	2.235	-69.750	1.221	-69.750	2.975	-69.750	2.319	-69.750	1.242	-69.750	0.107	-69.750	0.023	-69.750	-0.310	-69.750	0.085	-69.750	-0.002	-69.750	-0.182	-69.750	-2.756	-69.750	-1.939	-69.750	-1.471	-69.750	0.204	-69.750	0.159	-69.750	0.214	-69.750	2.837	-69.750	1.981	-69.750	1.039	-69.750	3.316	-69.750	2.323	-69.750	1.318	-69.750	0.831	-69.750	0.699	-69.750	0.187	-69.750	0.051	-69.750	0.110	-69.750	0.077	-69.750	-2.456	-69.750	-1.788	-69.750	-1.43
