Fc=1-11_X,Fc=1-11_Y,Fc=1-20_X,Fc=1-20_Y,Fc=1-28_X,Fc=1-28_Y,Fc=1-36_X,Fc=1-36_Y,Fc=2-11_X,Fc=2-11_Y,Fc=2-20_X,Fc=2-20_Y,Fc=2-28_X,Fc=2-28_Y,Fc=2-36_X,Fc=2-36_Y,Fc=3-11_X,Fc=3-11_Y,Fc=3-20_X,Fc=3-20_Y,Fc=3-28_X,Fc=3-28_Y,Fc=3-36_X,Fc=3-36_Y,Fc=4-11_X,Fc=4-11_Y,Fc=4-20_X,Fc=4-20_Y,Fc=4-28_X,Fc=4-28_Y,Fc=4-36_X,Fc=4-36_Y
-69.975,-0.13,-69.975,0.197,-69.975,0.147,-69.975,0.19,-69.975,0.09,-69.975,0.18,-69.975,-2.578,-69.975,-2.34,-69.975,-0.156,-69.975,0.134,-69.975,-1.897,-69.975,-1.59,-69.975,-0.035,-69.975,0.167,-69.975,-0.988,-69.975,-0.96
-69.95,-0.005,-69.95,0.135,-69.95,0.209,-69.95,0.13,-69.95,0.1,-69.95,0.156,-69.95,-2.572,-69.95,-2.41,-69.95,-0.121,-69.95,0.138,-69.95,-1.893,-69.95,-1.63,-69.95,0.063,-69.95,0.179,-69.95,-0.906,-69.95,-0.99
-69.925,0.026,-69.925,0.135,-69.925,0.209,-69.925,0.19,-69.925,-0.021,-69.925,0.123,-69.925,-2.707,-69.925,-2.34,-69.925,-0.183,-69.925,0.146,-69.925,-1.952,-69.925,-1.57,-69.925,0.063,-69.925,0.179,-69.925,-0.91,-69.925,-0.93
-69.9,0.12,-69.9,0.166,-69.9,0.209,-69.9,0.32,-69.9,0.076,-69.9,0.101,-69.9,-2.683,-69.9,-2.23,-69.9,-0.168,-69.9,0.111,-69.9,-1.905,-69.9,-1.56,-69.9,0.109,-69.9,0.163,-69.9,-0.914,-69.9,-0.81
-69.875,0.089,-69.875,0.135,-69.875,0.272,-69.875,0.38,-69.875,0.104,-69.875,0.06,-69.875,-2.592,-69.875,-2.23,-69.875,-0.14,-69.875,0.091,-69.875,-1.893,-69.875,-1.52,-69.875,0.063,-69.875,0.202,-69.875,-0.887,-69.875,-0.71
-69.85,0.307,-69.85,0.166,-69.85,0.678,-69.85,0.26,-69.85,0.012,-69.85,0.111,-69.85,-2.576,-69.85,-2.31,-69.85,-0.207,-69.85,0.177,-69.85,-1.913,-69.85,-1.49,-69.85,-0.051,-69.85,0.179,-69.85,-0.976,-69.85,-0.94
-69.825,-0.005,-69.825,0.135,-69.825,0.209,-69.825,0.22,-69.825,0.168,-69.825,0.172,-69.825,-2.549,-69.825,-2.21,-69.825,-0.078,-69.825,0.247,-69.825,-1.721,-69.825,-1.47,-69.825,0.039,-69.825,-0.04,-69.825,-1.14,-69.825,-1.09
-69.8,0.089,-69.8,0.041,-69.8,0.272,-69.8,0.32,-69.8,0.246,-69.8,0.121,-69.8,-2.469,-69.8,-2.12,-69.8,0.004,-69.8,0.22,-69.8,-1.698,-69.8,-1.51,-69.8,0.051,-69.8,-0.192,-69.8,-1.246,-69.8,-1.05
-69.775,-0.005,-69.775,0.135,-69.775,0.303,-69.775,0.35,-69.775,0.121,-69.775,0.16,-69.775,-2.394,-69.775,-2.2,-69.775,0.012,-69.775,0.255,-69.775,-1.69,-69.775,-1.53,-69.775,-0.031,-69.775,-0.126,-69.775,-1.199,-69.775,-1.12
-69.75,0.026,-69.75,0.228,-69.75,0.147,-69.75,0.44,-69.75,0.073,-69.75,0.158,-69.75,-2.609,-69.75,-2,-69.75,-0.027,-69.75,0.255,-69.75,-1.792,-69.75,-1.34,-69.75,-0.055,-69.75,-0.083,-69.75,-1.324,-69.75,-0.98
-69.725,-0.005,-69.725,0.322,-69.725,0.209,-69.725,0.6,-69.725,0.041,-69.725,0.148,-69.725,-2.603,-69.725,-1.81,-69.725,-0.09,-69.725,0.267,-69.725,-1.756,-69.725,-1.2,-69.725,-0.062,-69.725,-0.005,-69.725,-1.289,-69.725,-0.83
-69.7,-0.161,-69.7,0.478,-69.7,0.428,-69.7,0.54,-69.7,-0.078,-69.7,0.281,-69.7,-2.4,-69.7,-1.93,-69.7,-0.164,-69.7,0.364,-69.7,-1.631,-69.7,-1.27,-69.7,-0.109,-69.7,0.132,-69.7,-1.152,-69.7,-0.93
-69.675,-0.193,-69.675,0.447,-69.675,0.397,-69.675,0.51,-69.675,-0.119,-69.675,0.334,-69.675,-2.465,-69.675,-2,-69.675,-0.203,-69.675,0.329,-69.675,-1.694,-69.675,-1.31,-69.675,-0.117,-69.675,0.097,-69.675,-1.211,-69.675,-0.97
-69.65,0.276,-69.65,0.385,-69.65,0.709,-69.65,0.47,-69.65,-0.068,-69.65,0.43,-69.65,-2.478,-69.65,-1.99,-69.65,-0.207,-69.65,0.357,-69.65,-1.749,-69.65,-1.31,-69.65,-0.129,-69.65,0.155,-69.65,-1.222,-69.65,-0.95
-69.625,-0.036,-69.625,0.322,-69.625,0.272,-69.625,0.44,-69.625,-0.002,-69.625,0.377,-69.625,-2.467,-69.625,-2,-69.625,-0.16,-69.625,0.357,-69.625,-1.71,-69.625,-1.36,-69.625,0,-69.625,0.112,-69.625,-1.148,-69.625,-0.95
-69.6,0.057,-69.6,0.447,-69.6,0.272,-69.6,0.47,-69.6,-0.041,-69.6,0.439,-69.6,-2.56,-69.6,-2.04,-69.6,-0.254,-69.6,0.458,-69.6,-1.823,-69.6,-1.36,-69.6,0.184,-69.6,0.14,-69.6,-1.023,-69.6,-0.96
